accession	score_name	endpoint	model_type	n_model	n_advanced	n_non_advanced	effect_scale	estimate	conf_low	conf_high	beta	beta_se	p_value	convergence_note	p_fdr_within_endpoint_model
GSE130970	primary	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_base	78	16	62	OR_per_1SD_score	5.518725493429913	2.073176138847921	14.690662554489	1.7081469447586723	0.4995230340948425	6.272344081332086e-4	glm_converged	7.039477884741492e-4
GSE130970	primary	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_adjusted_age_numeric_sex_binary	78	16	62	OR_per_1SD_score	13.192184731522431	2.8187212769542596	61.74208830561068	2.579624588458406	0.787419007263024	0.0010526966210187394	glm_converged	0.0013132695503902672
GSE130970	primary	ordinal_fibrosis_stage	spearman	78	NA	NA	spearman_rho_with_fibrosis_stage	0.43080219223854693	NA	NA	NA	NA	8.243365338831351e-5	nonparametric_spearman	8.992762187816018e-5
GSE130970	primary	NAS	spearman	78	NA	NA	spearman_rho_with_nas_score	0.37337757943672184	NA	NA	NA	NA	7.599398246083423e-4	nonparametric_spearman	8.290252632091006e-4
GSE130970	ecm_excluded	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_base	78	16	62	OR_per_1SD_score	5.7750843374254215	2.108941154882704	15.81438108273409	1.7535528601844115	0.5139626841744254	6.452854727679701e-4	glm_converged	7.039477884741492e-4
GSE130970	ecm_excluded	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_adjusted_age_numeric_sex_binary	78	16	62	OR_per_1SD_score	13.857647771802762	2.8406726191096765	67.60173646040825	2.6288372659246586	0.8085695939175986	0.0011491108565914838	glm_converged	0.0013132695503902672
GSE130970	ecm_excluded	ordinal_fibrosis_stage	spearman	78	NA	NA	spearman_rho_with_fibrosis_stage	0.43225747096428596	NA	NA	NA	NA	7.750512301735803e-5	nonparametric_spearman	8.992762187816018e-5
GSE130970	ecm_excluded	NAS	spearman	78	NA	NA	spearman_rho_with_nas_score	0.37637861348442114	NA	NA	NA	NA	6.832372362896669e-4	nonparametric_spearman	8.198846835476002e-4
GSE130970	structural_ecm	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_base	78	16	62	OR_per_1SD_score	3.906856949571911	1.7493855007627048	8.725081588799998	1.3627332015229032	0.40993296820088165	8.864618746513233e-4	glm_converged	8.864618746513233e-4
GSE130970	structural_ecm	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_adjusted_age_numeric_sex_binary	78	16	62	OR_per_1SD_score	6.593460148983756	2.0712412125739146	20.989209983038368	1.886078271262178	0.5907807265734579	0.0014103801545893792	glm_converged	0.0014103801545893792
GSE130970	structural_ecm	ordinal_fibrosis_stage	spearman	78	NA	NA	spearman_rho_with_fibrosis_stage	0.42802393285304513	NA	NA	NA	NA	9.26578413814368e-5	nonparametric_spearman	9.26578413814368e-5
GSE130970	structural_ecm	NAS	spearman	78	NA	NA	spearman_rho_with_nas_score	0.30266651968620945	NA	NA	NA	NA	0.007072562352958908	nonparametric_spearman	0.007072562352958908
