accession	score_name	endpoint	model_type	n_model	n_advanced	n_non_advanced	effect_scale	estimate	conf_low	conf_high	beta	beta_se	p_value	convergence_note	p_fdr_within_endpoint_model	score_label	endpoint_label	sig_label
GSE130970	primary	ordinal_fibrosis_stage	spearman	78	NA	NA	spearman_rho_with_fibrosis_stage	0.43080219223854693	NA	NA	NA	NA	8.243365338831351e-5	nonparametric_spearman	8.992762187816018e-5	Primary locked score	Ordinal fibrosis stage	P < 0.001
GSE130970	primary	NAS	spearman	78	NA	NA	spearman_rho_with_nas_score	0.37337757943672184	NA	NA	NA	NA	7.599398246083423e-4	nonparametric_spearman	8.290252632091006e-4	Primary locked score	NAS	P < 0.001
GSE130970	ecm_excluded	ordinal_fibrosis_stage	spearman	78	NA	NA	spearman_rho_with_fibrosis_stage	0.4322574709642859	NA	NA	NA	NA	7.750512301735803e-5	nonparametric_spearman	8.992762187816018e-5	ECM-excluded score	Ordinal fibrosis stage	P < 0.001
GSE130970	ecm_excluded	NAS	spearman	78	NA	NA	spearman_rho_with_nas_score	0.37637861348442114	NA	NA	NA	NA	6.832372362896669e-4	nonparametric_spearman	8.198846835476002e-4	ECM-excluded score	NAS	P < 0.001
GSE130970	structural_ecm	ordinal_fibrosis_stage	spearman	78	NA	NA	spearman_rho_with_fibrosis_stage	0.42802393285304513	NA	NA	NA	NA	9.26578413814368e-5	nonparametric_spearman	9.26578413814368e-5	Structural ECM-only	Ordinal fibrosis stage	P < 0.001
GSE130970	structural_ecm	NAS	spearman	78	NA	NA	spearman_rho_with_nas_score	0.30266651968620945	NA	NA	NA	NA	0.0070725623529589	nonparametric_spearman	0.0070725623529589	Structural ECM-only	NAS	P < 0.01
GSE130970	hsc_context	ordinal_fibrosis_stage	spearman	78	NA	NA	spearman_rho_with_fibrosis_stage	0.4950593628832241	NA	NA	NA	NA	4.0723934260546995e-6	nonparametric_spearman	5.429857901406266e-6	HSC context	Ordinal fibrosis stage	P < 0.001
GSE130970	hsc_context	NAS	spearman	78	NA	NA	spearman_rho_with_nas_score	0.4343771384491857	NA	NA	NA	NA	7.081326334354383e-5	nonparametric_spearman	9.441768445805844e-5	HSC context	NAS	P < 0.001
GSE135251	primary	ordinal_fibrosis_stage	spearman	216	NA	NA	spearman_rho_with_fibrosis_stage	0.48170757529280506	NA	NA	NA	NA	5.999582485426232e-14	nonparametric_spearman	5.760824630111589e-13	Primary locked score	Ordinal fibrosis stage	P < 0.001
GSE135251	primary	NAS	spearman	216	NA	NA	spearman_rho_with_nas_score	0.4089603948786547	NA	NA	NA	NA	4.075617539655463e-10	nonparametric_spearman	1.6302470158621851e-9	Primary locked score	NAS	P < 0.001
GSE135251	ecm_excluded	ordinal_fibrosis_stage	spearman	216	NA	NA	spearman_rho_with_fibrosis_stage	0.4745659935817988	NA	NA	NA	NA	1.569572880991734e-13	nonparametric_spearman	6.278291523966936e-13	ECM-excluded score	Ordinal fibrosis stage	P < 0.001
GSE135251	ecm_excluded	NAS	spearman	216	NA	NA	spearman_rho_with_nas_score	0.3928676222445005	NA	NA	NA	NA	2.1941090487115062e-9	nonparametric_spearman	5.265861716907615e-9	ECM-excluded score	NAS	P < 0.001
GSE135251	structural_ecm	ordinal_fibrosis_stage	spearman	216	NA	NA	spearman_rho_with_fibrosis_stage	0.42871138835362	NA	NA	NA	NA	4.5514935923152297e-11	nonparametric_spearman	1.365448077694569e-10	Structural ECM-only	Ordinal fibrosis stage	P < 0.001
