accession	score_name	n_signature_genes	n_present	coverage_fraction	present_genes	missing_genes	score_label	coverage_label
GSE126848	primary	97	95	0.979381443298969	ACTA2;ACTB;AMOTL2;ANKRD1;ATF3;CAV1;CCL2;CDC42;CFL1;CNN1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;CXCL8;DCN;FERMT2;FLNA;FLNB;FN1;FOS;FOSB;FOSL1;FOSL2;IL6;ITGA1;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;JUN;JUNB;JUND;LAMA2;LAMB1;LATS1;LATS2;LIMD1;LMNA;LOX;LOXL2;LUM;MAFF;MAFG;MMP14;MMP2;MRTFA;MRTFB;MYL9;MYLK;NFKB1;NFKBIA;PARVA;PARVB;PFN1;PLOD2;POSTN;PTK2;PXN;RAC1;RELA;RHOA;ROCK1;ROCK2;SERPINE1;SMAD2;SMAD3;SMAD4;SPARC;SRC;SRF;TAGLN;TEAD1;TEAD2;TEAD3;TEAD4;TGFB1;TGFBR1;TGFBR2;THBS1;THY1;TIMP1;TIMP2;TLN1;VASP;VCAN;VCL;WWTR1;YAP1;ZYX	CTGF;CYR61	Primary locked score	95/97
GSE126848	ecm_excluded	83	81	0.9759036144578314	ACTA2;ACTB;AMOTL2;ANKRD1;ATF3;CAV1;CCL2;CDC42;CFL1;CNN1;CXCL8;FERMT2;FLNA;FLNB;FOS;FOSB;FOSL1;FOSL2;IL6;ITGA1;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;JUN;JUNB;JUND;LATS1;LATS2;LIMD1;LMNA;LOX;LOXL2;MAFF;MAFG;MMP14;MMP2;MRTFA;MRTFB;MYL9;MYLK;NFKB1;NFKBIA;PARVA;PARVB;PFN1;PLOD2;PTK2;PXN;RAC1;RELA;RHOA;ROCK1;ROCK2;SERPINE1;SMAD2;SMAD3;SMAD4;SPARC;SRC;SRF;TAGLN;TEAD1;TEAD2;TEAD3;TEAD4;TGFB1;TGFBR1;TGFBR2;THBS1;THY1;TIMP1;TIMP2;TLN1;VASP;VCAN;VCL;WWTR1;YAP1;ZYX	CTGF;CYR61	ECM-excluded score	81/83
GSE126848	structural_ecm	14	14	1	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LAMA2;LAMB1;LUM;POSTN	NA	Structural ECM-only	14/14
GSE130970	primary	97	95	0.979381443298969	ACTA2;ACTB;AMOTL2;ANKRD1;ATF3;CAV1;CCL2;CDC42;CFL1;CNN1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;CXCL8;DCN;FERMT2;FLNA;FLNB;FN1;FOS;FOSB;FOSL1;FOSL2;IL6;ITGA1;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;JUN;JUNB;JUND;LAMA2;LAMB1;LATS1;LATS2;LIMD1;LMNA;LOX;LOXL2;LUM;MAFF;MAFG;MMP14;MMP2;MRTFA;MRTFB;MYL9;MYLK;NFKB1;NFKBIA;PARVA;PARVB;PFN1;PLOD2;POSTN;PTK2;PXN;RAC1;RELA;RHOA;ROCK1;ROCK2;SERPINE1;SMAD2;SMAD3;SMAD4;SPARC;SRC;SRF;TAGLN;TEAD1;TEAD2;TEAD3;TEAD4;TGFB1;TGFBR1;TGFBR2;THBS1;THY1;TIMP1;TIMP2;TLN1;VASP;VCAN;VCL;WWTR1;YAP1;ZYX	CTGF;CYR61	Primary locked score	95/97
GSE130970	ecm_excluded	83	81	0.9759036144578314	ACTA2;ACTB;AMOTL2;ANKRD1;ATF3;CAV1;CCL2;CDC42;CFL1;CNN1;CXCL8;FERMT2;FLNA;FLNB;FOS;FOSB;FOSL1;FOSL2;IL6;ITGA1;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;JUN;JUNB;JUND;LATS1;LATS2;LIMD1;LMNA;LOX;LOXL2;MAFF;MAFG;MMP14;MMP2;MRTFA;MRTFB;MYL9;MYLK;NFKB1;NFKBIA;PARVA;PARVB;PFN1;PLOD2;PTK2;PXN;RAC1;RELA;RHOA;ROCK1;ROCK2;SERPINE1;SMAD2;SMAD3;SMAD4;SPARC;SRC;SRF;TAGLN;TEAD1;TEAD2;TEAD3;TEAD4;TGFB1;TGFBR1;TGFBR2;THBS1;THY1;TIMP1;TIMP2;TLN1;VASP;VCAN;VCL;WWTR1;YAP1;ZYX	CTGF;CYR61	ECM-excluded score	81/83
GSE130970	structural_ecm	14	14	1	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LAMA2;LAMB1;LUM;POSTN	NA	Structural ECM-only	14/14
GSE135251	primary	97	95	0.979381443298969	ACTA2;ACTB;AMOTL2;ANKRD1;ATF3;CAV1;CCL2;CDC42;CFL1;CNN1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;CXCL8;DCN;FERMT2;FLNA;FLNB;FN1;FOS;FOSB;FOSL1;FOSL2;IL6;ITGA1;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;JUN;JUNB;JUND;LAMA2;LAMB1;LATS1;LATS2;LIMD1;LMNA;LOX;LOXL2;LUM;MAFF;MAFG;MMP14;MMP2;MRTFA;MRTFB;MYL9;MYLK;NFKB1;NFKBIA;PARVA;PARVB;PFN1;PLOD2;POSTN;PTK2;PXN;RAC1;RELA;RHOA;ROCK1;ROCK2;SERPINE1;SMAD2;SMAD3;SMAD4;SPARC;SRC;SRF;TAGLN;TEAD1;TEAD2;TEAD3;TEAD4;TGFB1;TGFBR1;TGFBR2;THBS1;THY1;TIMP1;TIMP2;TLN1;VASP;VCAN;VCL;WWTR1;YAP1;ZYX	CTGF;CYR61	Primary locked score	95/97
GSE135251	ecm_excluded	83	81	0.9759036144578314	ACTA2;ACTB;AMOTL2;ANKRD1;ATF3;CAV1;CCL2;CDC42;CFL1;CNN1;CXCL8;FERMT2;FLNA;FLNB;FOS;FOSB;FOSL1;FOSL2;IL6;ITGA1;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;JUN;JUNB;JUND;LATS1;LATS2;LIMD1;LMNA;LOX;LOXL2;MAFF;MAFG;MMP14;MMP2;MRTFA;MRTFB;MYL9;MYLK;NFKB1;NFKBIA;PARVA;PARVB;PFN1;PLOD2;PTK2;PXN;RAC1;RELA;RHOA;ROCK1;ROCK2;SERPINE1;SMAD2;SMAD3;SMAD4;SPARC;SRC;SRF;TAGLN;TEAD1;TEAD2;TEAD3;TEAD4;TGFB1;TGFBR1;TGFBR2;THBS1;THY1;TIMP1;TIMP2;TLN1;VASP;VCAN;VCL;WWTR1;YAP1;ZYX	CTGF;CYR61	ECM-excluded score	81/83
GSE135251	structural_ecm	14	14	1	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LAMA2;LAMB1;LUM;POSTN	NA	Structural ECM-only	14/14
GSE162694	primary	97	95	0.979381443298969	ACTA2;ACTB;AMOTL2;ANKRD1;ATF3;CAV1;CCL2;CDC42;CFL1;CNN1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;CXCL8;DCN;FERMT2;FLNA;FLNB;FN1;FOS;FOSB;FOSL1;FOSL2;IL6;ITGA1;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;JUN;JUNB;JUND;LAMA2;LAMB1;LATS1;LATS2;LIMD1;LMNA;LOX;LOXL2;LUM;MAFF;MAFG;MMP14;MMP2;MRTFA;MRTFB;MYL9;MYLK;NFKB1;NFKBIA;PARVA;PARVB;PFN1;PLOD2;POSTN;PTK2;PXN;RAC1;RELA;RHOA;ROCK1;ROCK2;SERPINE1;SMAD2;SMAD3;SMAD4;SPARC;SRC;SRF;TAGLN;TEAD1;TEAD2;TEAD3;TEAD4;TGFB1;TGFBR1;TGFBR2;THBS1;THY1;TIMP1;TIMP2;TLN1;VASP;VCAN;VCL;WWTR1;YAP1;ZYX	CTGF;CYR61	Primary locked score	95/97
