gene_a	gene_b	n_cohorts_tested	n_significant_edges	n_positive_edges	n_negative_edges	median_rho	median_abs_rho	min_fdr	reproducible_edge	boundary
COL1A2	COL3A1	3	3	3	0	0.8746316974165073	0.8746316974165073	1.4458606100296956e-86	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	COL5A1	3	3	3	0	0.8487335449360763	0.8487335449360763	1.5920374139680515e-60	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
DCN	LUM	3	3	3	0	0.842649948201336	0.842649948201336	5.279635736884821e-57	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	MMP2	3	3	3	0	0.8402360550247873	0.8402360550247873	7.671957606351957e-69	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	THY1	3	3	3	0	0.8359109245185192	0.8359109245185192	1.843699190569926e-68	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	COL1A2	3	3	3	0	0.832395452648617	0.832395452648617	1.9249641681678598e-59	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	COL5A1	3	3	3	0	0.8319907940161103	0.8319907940161103	1.9095056401568212e-103	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LATS1	ROCK1	3	3	3	0	0.8098381738291714	0.8098381738291714	3.128072441138524e-49	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MYL9	TAGLN	3	3	3	0	0.8091528724440115	0.8091528724440115	7.102023151409183e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CDC42	TGFBR1	3	3	3	0	0.8047619047619047	0.8047619047619047	3.173085579054211e-48	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	THY1	3	3	3	0	0.7941628264208909	0.7941628264208909	4.125253548335735e-46	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL6A1	COL6A2	3	3	3	0	0.7915558619783971	0.7915558619783971	3.577610915475984e-61	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGA1	ROCK1	3	3	3	0	0.7910592928198561	0.7910592928198561	9.350315336889671e-61	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	LAMA2	3	3	3	0	0.7875542179339646	0.7875542179339646	1.2258285427997703e-54	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ACTA2	TAGLN	3	3	3	0	0.7866690271753561	0.7866690271753561	1.9249641681678598e-59	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
CFL1	RHOA	3	3	3	0	0.7843937174769883	0.7843937174769883	2.8713526461409787e-44	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
LAMA2	THY1	3	3	3	0	0.7836593785960874	0.7836593785960874	1.1287689150114078e-44	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
RAC1	RHOA	3	3	3	0	0.7801186155616533	0.7801186155616533	1.3611807709676934e-28	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FERMT2	ITGA1	3	3	3	0	0.7799545124376331	0.7799545124376331	1.794892016014041e-43	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ROCK1	ROCK2	3	3	3	0	0.7786863382512293	0.7786863382512293	3.017903706322301e-43	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	COL5A1	3	3	3	0	0.7782921920956428	0.7782921920956428	3.4957090676311528e-43	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	MMP14	3	3	3	0	0.7752627119715726	0.7752627119715726	1.0361265038254647e-55	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ITGAV	ITGB1	3	3	3	0	0.7728384477071648	0.7728384477071648	3.159703345679175e-42	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
MMP2	THY1	3	3	3	0	0.7676097376801602	0.7676097376801602	9.324549322890035e-66	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A2	COL6A3	3	3	3	0	0.767108443777611	0.767108443777611	2.91244219864634e-41	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ACTB	PFN1	3	3	3	0	0.7653649167733674	0.7653649167733674	4.002566721320391e-35	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
ATF3	JUN	3	3	3	0	0.7648174610199925	0.7648174610199925	2.6923546806750396e-42	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
SMAD2	TGFBR1	3	3	3	0	0.7634853409501295	0.7634853409501295	6.487237558280941e-56	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL3A1	SPARC	3	3	3	0	0.7620393193536479	0.7620393193536479	1.9047869301083867e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
DCN	SPARC	3	3	3	0	0.7491875213394199	0.7491875213394199	5.870490735329924e-43	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	COL6A2	3	3	3	0	0.7490643159657242	0.7490643159657242	4.494513288383199e-40	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
FLNA	TAGLN	3	3	3	0	0.7485805333906599	0.7485805333906599	1.3905485757215763e-30	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
COL1A1	COL3A1	3	3	3	0	0.7461043832386667	0.7461043832386667	5.472066538757856e-38	TRUE	Reproducible bulk coexpression edge; not a direct interaction or causal edge.
