accession	gene_a	gene_b	n_pair	rho	p_value	fdr	edge_significant	edge_direction	boundary
GSE135251	ATF3	FOS	216	0.5004382047892925	4.319520926373189e-15	2.2245283663502063e-14	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	FOSB	216	0.297076849172583	8.934681165830681e-6	1.7659739444636562e-5	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	FOSL1	216	0.3104472129160002	3.293771409047034e-6	6.786658671617447e-6	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	FOSL2	216	0.2064551852248776	0.002291652595125052	0.0034428764593651944	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	JUN	216	0.7732718894009216	3.195852140554918e-44	2.6923546806750396e-42	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	JUNB	216	0.305003631860346	4.974189617072421e-6	1.0081596296063712e-5	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	JUND	216	0.5074506721918575	1.546494978618976e-15	8.27949649824188e-15	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MAFF	216	0.4409197537479607	1.091664905211888e-11	3.9435953088762785e-11	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MAFG	216	0.3932268781481084	2.1152479463036056e-9	6.105095074496185e-9	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LOX	216	0.25444131534117337	1.5669339603714127e-4	2.6950539803768714e-4	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	LOXL2	216	0.3360125745722144	4.247416111175023e-7	9.705584921390215e-7	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MMP14	216	0.17793734147822668	0.008769580583468706	0.012305523980260143	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	MMP2	216	0.4330749354005167	2.7502101412804242e-11	9.499682323662408e-11	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	PLOD2	216	-0.10393669846032935	0.1278050102691679	0.15294810261373218	FALSE	negative	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	SPARC	216	0.15978875671298776	0.0187785728752152	0.02524731342602706	FALSE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
GSE135251	ATF3	THY1	216	0.45158551542647557	2.9907183117862904e-12	1.137440993366762e-11	TRUE	positive	Bulk coexpression edge among locked genes; association only, not direct interaction or causal regulation.
