accession	gene_symbol	advanced_n	advanced_beta	advanced_or	advanced_p	fibrosis_n	fibrosis_rho	fibrosis_p	advanced_fdr	fibrosis_fdr	advanced_direction	fibrosis_direction	present	source_category	evidence_tier	include_in_ecm_excluded_score	is_ecm_structural_gene	boundary
GSE135251	ATF3	216	0.41356458466247814	1.512198549075714	0.007142463081572701	216	0.26484761864754414	8.132544984481836e-5	0.018338756560794773	2.492231527502498e-4	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	FOS	216	0.11362062479598778	1.12032701996036	0.42572175189342853	216	0.1461669815956888	0.031770359609346696	0.5185072619214834	0.053896145765856	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	FOSB	216	0.0123274392984756	1.0124037353676942	0.9327000705312023	216	0.14147395160495552	0.03774340690283297	0.9327000705312023	0.060773282301171724	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	FOSL1	216	0.23868317101262468	1.2695762343039796	0.09867636091941268	216	0.12108663686636191	0.07576316291751997	0.1748224967857003	0.1090530375327939	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	FOSL2	216	0.16460230739377235	1.1789241760419402	0.26039900454546894	216	0.19347705560895032	0.0043167367217152195	0.3748167489669629	0.008725318905594593	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	JUN	216	0.4218277131547582	1.5247458084075238	0.0064231464507299085	216	0.3260653695979271	9.63723785074423e-7	0.016949969800537257	4.577687979103509e-6	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	JUNB	216	0.22216299597897404	1.2487749065650666	0.13240267627258734	216	0.1793455544805094	0.008241997671792012	0.22461168296242495	0.01565979557640482	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	JUND	216	0.21616081598405637	1.2413019841504846	0.14111704430834185	216	0.1198205504196679	0.0788985779784684	0.23113998636711167	0.11187111802917162	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	MAFF	216	0.4052981133189575	1.49974952873047	0.01053986081285911	216	0.18451797254110977	0.006537977253587097	0.026349652032147775	0.012939746647724463	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
GSE135251	MAFG	216	0.39082822629965197	1.4782045749340877	0.013746183601338433	216	0.2900578057047905	1.4795221973560282e-5	0.031850913222613436	5.0198074553150955e-5	positive	positive	TRUE	AP1_chromatin_priming_context	A/B	TRUE	FALSE	Gene-level bulk association within locked program; not a mechanism validation or feature-selection step.
