stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000052754	9606.ENSP00000369071	DCN	POSTN	9606	0.758	0	0	0	0.405	0.045	0	0.608
9606.ENSP00000052754	9606.ENSP00000355180	DCN	COL6A1	9606	0.824	0	0	0	0.522	0.328	0	0.495
9606.ENSP00000052754	9606.ENSP00000260356	DCN	THBS1	9606	0.854	0	0	0	0.174	0.099	0	0.819
9606.ENSP00000052754	9606.ENSP00000308208	DCN	MMP14	9606	0.859	0	0	0	0.085	0	0.75	0.435
9606.ENSP00000052754	9606.ENSP00000219070	DCN	MMP2	9606	0.866	0	0	0	0.357	0	0.4	0.681
9606.ENSP00000052754	9606.ENSP00000231061	DCN	SPARC	9606	0.905	0	0	0	0.734	0	0	0.659
9606.ENSP00000052754	9606.ENSP00000225964	DCN	COL1A1	9606	0.923	0	0	0	0.479	0.091	0	0.851
9606.ENSP00000052754	9606.ENSP00000297268	DCN	COL1A2	9606	0.93	0	0	0	0.769	0.091	0	0.695
9606.ENSP00000052754	9606.ENSP00000304408	DCN	COL3A1	9606	0.935	0	0	0	0.836	0.091	0	0.603
9606.ENSP00000052754	9606.ENSP00000356954	DCN	CCN2	9606	0.939	0	0	0	0.196	0	0	0.927
9606.ENSP00000052754	9606.ENSP00000266718	DCN	LUM	9606	0.978	0	0	0.173	0.862	0	0	0.824
9606.ENSP00000052754	9606.ENSP00000265077	DCN	VCAN	9606	0.981	0	0	0	0.101	0.099	0.4	0.966
9606.ENSP00000052754	9606.ENSP00000346839	DCN	FN1	9606	0.996	0	0	0	0.181	0.292	0	0.995
9606.ENSP00000052754	9606.ENSP00000221930	DCN	TGFB1	9606	0.999	0	0	0	0	0.625	0.9	0.993
9606.ENSP00000211998	9606.ENSP00000497733	VCL	CDC42	9606	0.739	0	0	0	0.044	0.062	0	0.732
9606.ENSP00000211998	9606.ENSP00000339191	VCL	CAV1	9606	0.744	0	0	0	0.152	0.139	0	0.678
9606.ENSP00000211998	9606.ENSP00000279022	VCL	MYL9	9606	0.749	0	0	0	0.253	0.054	0.5	0.374
9606.ENSP00000211998	9606.ENSP00000293379	VCL	ITGA5	9606	0.78	0	0	0	0.115	0.292	0	0.677
9606.ENSP00000211998	9606.ENSP00000353452	VCL	MYLK	9606	0.814	0	0	0	0.266	0	0.5	0.534
9606.ENSP00000211998	9606.ENSP00000432660	VCL	CFL1	9606	0.833	0	0	0	0.078	0	0	0.826
9606.ENSP00000211998	9606.ENSP00000400175	VCL	RHOA	9606	0.852	0	0	0	0.083	0.062	0	0.842
9606.ENSP00000211998	9606.ENSP00000384515	VCL	PARVB	9606	0.864	0	0	0	0.074	0	0	0.859
9606.ENSP00000211998	9606.ENSP00000452786	VCL	ITGB3	9606	0.874	0	0	0	0.203	0.096	0.4	0.744
9606.ENSP00000211998	9606.ENSP00000282588	VCL	ITGA1	9606	0.886	0	0	0	0.109	0	0.8	0.415
9606.ENSP00000211998	9606.ENSP00000342858	VCL	FERMT2	9606	0.896	0	0	0	0.072	0.565	0	0.763
9606.ENSP00000211998	9606.ENSP00000334008	VCL	PARVA	9606	0.948	0	0	0	0.062	0	0	0.946
9606.ENSP00000211998	9606.ENSP00000379350	VCL	ITGB1	9606	0.966	0	0	0	0.318	0.26	0	0.938
9606.ENSP00000211998	9606.ENSP00000225655	VCL	PFN1	9606	0.978	0	0	0	0.083	0.124	0.9	0.764
9606.ENSP00000211998	9606.ENSP00000494750	VCL	ACTB	9606	0.984	0	0	0	0.1	0.105	0.9	0.826
9606.ENSP00000211998	9606.ENSP00000346839	VCL	FN1	9606	0.992	0	0	0	0.074	0.071	0.4	0.987
9606.ENSP00000211998	9606.ENSP00000420213	VCL	FLNB	9606	0.995	0	0	0	0.295	0	0	0.993
9606.ENSP00000211998	9606.ENSP00000362680	VCL	SRC	9606	0.997	0	0	0	0.053	0	0.4	0.995
9606.ENSP00000211998	9606.ENSP00000341189	VCL	PTK2	9606	0.998	0	0	0	0.089	0.083	0	0.997
9606.ENSP00000211998	9606.ENSP00000358866	VCL	FLNA	9606	0.998	0	0	0	0.474	0	0.4	0.995
9606.ENSP00000211998	9606.ENSP00000324422	VCL	ZYX	9606	0.999	0	0	0	0.192	0.183	0	0.999
9606.ENSP00000211998	9606.ENSP00000245932	VCL	VASP	9606	0.999	0	0	0	0.063	0.601	0	0.998
9606.ENSP00000211998	9606.ENSP00000316029	VCL	TLN1	9606	0.999	0	0	0	0.255	0.991	0.9	0.999
9606.ENSP00000211998	9606.ENSP00000267257	VCL	PXN	9606	0.999	0	0	0	0.107	0.881	0.8	0.999
9606.ENSP00000216797	9606.ENSP00000225831	NFKBIA	CCL2	9606	0.754	0	0	0	0.176	0	0	0.714
9606.ENSP00000216797	9606.ENSP00000362680	NFKBIA	SRC	9606	0.797	0	0	0	0.088	0.261	0	0.724
9606.ENSP00000216797	9606.ENSP00000306245	NFKBIA	FOS	9606	0.808	0	0	0	0.156	0.053	0	0.779
9606.ENSP00000216797	9606.ENSP00000494750	NFKBIA	ACTB	9606	0.823	0	0	0	0.049	0.092	0	0.811
9606.ENSP00000216797	9606.ENSP00000306512	NFKBIA	CXCL8	9606	0.887	0	0	0	0.45	0	0	0.803
9606.ENSP00000216797	9606.ENSP00000360266	NFKBIA	JUN	9606	0.908	0	0	0	0.235	0.292	0	0.844
9606.ENSP00000216797	9606.ENSP00000385675	NFKBIA	IL6	9606	0.927	0	0	0	0.175	0	0	0.915
9606.ENSP00000216797	9606.ENSP00000226574	NFKBIA	NFKB1	9606	0.999	0	0	0	0.242	0.997	0.9	0.986
9606.ENSP00000216797	9606.ENSP00000384273	NFKBIA	RELA	9606	0.999	0	0.003	0	0.147	0.999	0.9	0.999
9606.ENSP00000218388	9606.ENSP00000360266	TIMP1	JUN	9606	0.701	0	0	0	0.062	0	0	0.695
9606.ENSP00000218388	9606.ENSP00000226574	TIMP1	NFKB1	9606	0.704	0	0	0	0.076	0	0	0.693
9606.ENSP00000218388	9606.ENSP00000379350	TIMP1	ITGB1	9606	0.753	0	0	0	0.085	0	0	0.741
9606.ENSP00000218388	9606.ENSP00000260356	TIMP1	THBS1	9606	0.762	0	0	0	0.143	0	0	0.734
9606.ENSP00000218388	9606.ENSP00000306512	TIMP1	CXCL8	9606	0.78	0	0	0	0.086	0	0	0.77
9606.ENSP00000218388	9606.ENSP00000356954	TIMP1	CCN2	9606	0.816	0	0	0	0.119	0	0	0.8
9606.ENSP00000218388	9606.ENSP00000223095	TIMP1	SERPINE1	9606	0.84	0	0	0	0.269	0	0	0.791
9606.ENSP00000218388	9606.ENSP00000225964	TIMP1	COL1A1	9606	0.842	0	0	0	0.175	0	0	0.817
9606.ENSP00000218388	9606.ENSP00000225831	TIMP1	CCL2	9606	0.867	0	0	0	0.357	0	0	0.802
9606.ENSP00000218388	9606.ENSP00000221930	TIMP1	TGFB1	9606	0.882	0	0	0	0.16	0.053	0.4	0.782
9606.ENSP00000218388	9606.ENSP00000385675	TIMP1	IL6	9606	0.938	0	0	0	0.152	0	0.4	0.888
9606.ENSP00000218388	9606.ENSP00000346839	TIMP1	FN1	9606	0.954	0	0	0	0.087	0.16	0.4	0.913
9606.ENSP00000218388	9606.ENSP00000219070	TIMP1	MMP2	9606	0.997	0	0	0	0.148	0.16	0.4	0.994
9606.ENSP00000218388	9606.ENSP00000308208	TIMP1	MMP14	9606	0.999	0	0	0	0.172	0.977	0	0.996
9606.ENSP00000219070	9606.ENSP00000231061	MMP2	SPARC	9606	0.701	0	0	0	0.357	0	0	0.554
9606.ENSP00000219070	9606.ENSP00000225831	MMP2	CCL2	9606	0.704	0	0	0	0.15	0	0	0.667
9606.ENSP00000219070	9606.ENSP00000341551	MMP2	SMAD4	9606	0.709	0	0	0	0	0.045	0	0.708
9606.ENSP00000219070	9606.ENSP00000231004	MMP2	LOX	9606	0.73	0	0	0	0.29	0.238	0	0.542
9606.ENSP00000219070	9606.ENSP00000223095	MMP2	SERPINE1	9606	0.755	0	0	0	0.181	0	0	0.714
9606.ENSP00000219070	9606.ENSP00000379350	MMP2	ITGB1	9606	0.755	0	0	0	0.115	0.297	0	0.637
9606.ENSP00000219070	9606.ENSP00000346839	MMP2	FN1	9606	0.756	0	0	0.104	0.255	0.24	0	0.577
9606.ENSP00000219070	9606.ENSP00000266718	MMP2	LUM	9606	0.78	0	0	0	0.446	0	0	0.62
9606.ENSP00000219070	9606.ENSP00000369071	MMP2	POSTN	9606	0.787	0	0	0	0.353	0.099	0	0.665
9606.ENSP00000219070	9606.ENSP00000360882	MMP2	COL5A1	9606	0.796	0	0	0	0.37	0.508	0	0.394
9606.ENSP00000219070	9606.ENSP00000304408	MMP2	COL3A1	9606	0.799	0	0	0	0.363	0.05	0	0.694
9606.ENSP00000219070	9606.ENSP00000306512	MMP2	CXCL8	9606	0.814	0	0	0	0.042	0	0	0.814
9606.ENSP00000219070	9606.ENSP00000225964	MMP2	COL1A1	9606	0.828	0	0	0	0.403	0.298	0	0.623
9606.ENSP00000219070	9606.ENSP00000261023	MMP2	ITGAV	9606	0.835	0	0	0	0.094	0.51	0	0.66
9606.ENSP00000219070	9606.ENSP00000356954	MMP2	CCN2	9606	0.839	0	0	0	0.175	0	0	0.813
9606.ENSP00000219070	9606.ENSP00000385675	MMP2	IL6	9606	0.847	0	0	0	0.116	0	0.4	0.734
9606.ENSP00000219070	9606.ENSP00000297268	MMP2	COL1A2	9606	0.853	0	0	0	0.452	0.098	0	0.726
9606.ENSP00000219070	9606.ENSP00000221930	MMP2	TGFB1	9606	0.962	0	0	0	0.07	0.6	0.4	0.85
9606.ENSP00000219070	9606.ENSP00000362680	MMP2	SRC	9606	0.972	0	0	0	0.042	0	0.9	0.74
