gsm	title	organism_ch1	n_files
GSM6556449	Human Control Liver 1, snRNA-seq	Homo sapiens	3
GSM6556450	Human Control Liver 2, snRNA-seq	Homo sapiens	3
GSM6556451	Human Control Liver 3, snRNA-seq	Homo sapiens	3
GSM6556452	Human NASH Liver 1 R1C1, snRNA-seq	Homo sapiens	3
GSM6556453	Human NASH Liver 1 R1C2, snRNA-seq	Homo sapiens	3
GSM6556454	Human NASH Liver 2 R1C2, snRNA-seq	Homo sapiens	3
GSM6556455	Human NASH Liver 2 R2C1, snRNA-seq	Homo sapiens	3
GSM6556456	Human NASH Liver 3 R4C1, snRNA-seq	Homo sapiens	3
GSM6556457	Human NASH Liver 3 R5C2, snRNA-seq	Homo sapiens	3
GSM6556458	Human NASH Liver 3 R6C1, snRNA-seq	Homo sapiens	3
GSM6556459	Human NASH Liver 4 R4C1, snRNA-seq	Homo sapiens	3
GSM6556460	Human NASH Liver 4 R6C1, snRNA-seq	Homo sapiens	3
GSM6556461	Human NASH Liver 5 R3C8, snRNA-seq	Homo sapiens	3
GSM6556462	Human NASH Liver 5 R5C5, snRNA-seq	Homo sapiens	3
GSM6556463	Human NASH Liver 6, snRNA-seq	Homo sapiens	3
GSM6556464	Human NASH Liver 7, snRNA-seq	Homo sapiens	3
GSM6556465	Human NASH Liver 8, snRNA-seq	Homo sapiens	3
GSM6556466	Human NASH Liver 9, snRNA-seq	Homo sapiens	3
