gsm	title	disease_group	donor_id	region	n_stromal_candidate	primary_score	ecm_excluded_score	structural_ecm_score	hsc_context_score	stromal_marker_score	activated_hsc_score	quiescent_hsc_score
GSM6556449	Human Control Liver 1, snRNA-seq	Control	Control_1	region_unspecified	0	NA	NA	NA	NA	NA	NA	NA
GSM6556450	Human Control Liver 2, snRNA-seq	Control	Control_2	region_unspecified	0	NA	NA	NA	NA	NA	NA	NA
GSM6556451	Human Control Liver 3, snRNA-seq	Control	Control_3	region_unspecified	0	NA	NA	NA	NA	NA	NA	NA
GSM6556452	Human NASH Liver 1 R1C1, snRNA-seq	NASH	NASH_1	R1C1	87	0.05283429871745973	0.0533924373996502	0.3108932055828586	0.12369313385288962	0.23855029009701592	0.2090903531374237	0.5145314628957587
GSM6556453	Human NASH Liver 1 R1C2, snRNA-seq	NASH	NASH_1	R1C2	68	0.05210153944978665	0.05257311385769551	0.3058661092320738	0.11272229082577619	0.23761177663554045	0.1631498598832215	0.46713238181668754
GSM6556454	Human NASH Liver 2 R1C2, snRNA-seq	NASH	NASH_2	R1C2	43	0.05546976295011294	0.059521278674574435	0.30034114385748134	0.13583134669976787	0.2357215225385388	0.26536024796951424	0.3435343989548451
GSM6556455	Human NASH Liver 2 R2C1, snRNA-seq	NASH	NASH_2	R2C1	68	0.054887584231615306	0.05826291995303479	0.30447469717959685	0.16082198097152808	0.24126314645267177	0.25444325573652443	0.35453066737278705
GSM6556456	Human NASH Liver 3 R4C1, snRNA-seq	NASH	NASH_3	R4C1	19	0.055621323462885494	0.05918835393049563	0.310104756968669	0.12317406778412018	0.25047799491318096	0.3836742963259928	0.29818144922520246
GSM6556457	Human NASH Liver 3 R5C2, snRNA-seq	NASH	NASH_3	R5C2	0	NA	NA	NA	NA	NA	NA	NA
GSM6556458	Human NASH Liver 3 R6C1, snRNA-seq	NASH	NASH_3	R6C1	0	NA	NA	NA	NA	NA	NA	NA
GSM6556459	Human NASH Liver 4 R4C1, snRNA-seq	NASH	NASH_4	R4C1	0	NA	NA	NA	NA	NA	NA	NA
GSM6556460	Human NASH Liver 4 R6C1, snRNA-seq	NASH	NASH_4	R6C1	0	NA	NA	NA	NA	NA	NA	NA
GSM6556461	Human NASH Liver 5 R3C8, snRNA-seq	NASH	NASH_5	R3C8	0	NA	NA	NA	NA	NA	NA	NA
GSM6556462	Human NASH Liver 5 R5C5, snRNA-seq	NASH	NASH_5	R5C5	0	NA	NA	NA	NA	NA	NA	NA
GSM6556463	Human NASH Liver 6, snRNA-seq	NASH	NASH_6	region_unspecified	0	NA	NA	NA	NA	NA	NA	NA
GSM6556464	Human NASH Liver 7, snRNA-seq	NASH	NASH_7	region_unspecified	0	NA	NA	NA	NA	NA	NA	NA
GSM6556465	Human NASH Liver 8, snRNA-seq	NASH	NASH_8	region_unspecified	0	NA	NA	NA	NA	NA	NA	NA
GSM6556466	Human NASH Liver 9, snRNA-seq	NASH	NASH_9	region_unspecified	0	NA	NA	NA	NA	NA	NA	NA
